nombre_original,nombre_google,direccion,municipio,estado,lat,lng,place_id
CENTRO DE ESTUDIOS TECNOLÓGICOS DEL MAR No 17,Centro de Estudios Tecnológicos del Mar 17,"Progreso, Boulevard Turístico Yucalpetén, 97320 Progreso, Yucatan, Mexico",,Yucatán,21.2806216,-89.69734559999999,ChIJG88iVFTdVY8RXrwq0KsfDUo
COLEGIO DE ESTUDIOS UNIVERSITARIOS DEL MAYAB,College of the Mayab University Studies,"C. 59 627, Barrio de Santiago, Centro, 97000 Mérida, Yuc., Mexico",,Yucatán,20.971394,-89.6394418,ChIJaxnQg8FzVo8RBzYQub8j2d4
COBAY CHOLUL,Cobay Cholul,"97305 Merida, Yucatan, Mexico",,Yucatán,21.0493287,-89.57478909999999,ChIJnQgjxKZ3Vo8RUDr1u0F8KaE
COBAY CELESTUN,Nacobay,"C. 6 6480, Benito Juárez, 97367 Celestún, Yuc., Mexico",,Yucatán,20.8656137,-90.3945962,ChIJRSnB8rfF-IURlvT7ieFqnVQ
COLEGIO DE BACHILLERES DEL ESTADO DE CAMPECHE,Colegio de Bachilleres de Campeche,"18 SN, 24460 Camp., Mexico",,Yucatán,19.7700067,-90.63741960000002,ChIJZ0WccCPAYoYRqezBwZth3bQ
COBACAM-CAMPECHE,COBACAM,"Calle Castillo Oliver No. 14, entre Lorenzo Alfaro Alomía, área, Cam, Av. Miguel Alemán y, Área Ah, 24014 San Francisco de Campeche, Camp., Mexico",,Yucatán,19.8520317,-90.5276107,ChIJY3D9ov8z-IURU3SN0wZPnVo
COBAY PROGRESO,COBAY Plantel Progreso,"C. 37 entre 72 y 74, Centro, 97320 Progreso, Yuc., Mexico",,Yucatán,21.2807775,-89.6589856,ChIJVUX2Y9TcVY8Rlu_GthDExxw
COBAY 5,COBAY plantel Santa Rosa,"Av. 1o. de Mayo x 107 y 109, Santa Rosa, 97279 Mérida, Yuc., Mexico",,Yucatán,20.9403774,-89.6127855,ChIJ3UmgRppxVo8RzhNh9D6cWUk
COBAY ACANCEH,Cobay Acanceh,"97380 Acanceh, Yucatan, Mexico",,Yucatán,20.827109,-89.4670012,ChIJAalZHOBjVo8RMUlpYsQC1DQ
COBAY BACA,Cobay Baca,"97450 Baca, Yucatan, Mexico",,Yucatán,21.106527,-89.4029477,ChIJp9E-q8rVVY8RCGhdWH_HLZY
COBAY CAUCEL,COBAY Caucel,"Hunucma - Caucel 56, Caucel, 97314 Caucel, Yuc., Mexico",,Yucatán,21.0212694,-89.7178765,ChIJZbcTa0ALVo8RVQBzD1GPofM
COBAY DZIDZANTUN,COBAY Dzidzantun,"C. 6, Dzidzantun, 97500 Dzidzantún, Yuc., Mexico",,Yucatán,21.2465277,-89.0318219,ChIJMdxtpZAZVI8R6rzwacR9fuk
COBAY HALACHO,COBAY Halacho,"C. 20 17A, San José, 97830 Halachó, Yuc., Mexico",,Yucatán,20.4931519,-90.077041,ChIJ2x2Yip6E-IUROuvifT056I8
